gate,arm,alpha,kind,n,stat,value,p,extra
GATE1_identity,rank,0.0,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.0615234375,top1=1/11
GATE1_identity,rank,0.0,Dx_to_Treatment,11,median percentile of the true partner,0.2727272727272727,0.0615234375,top1=0/11
GATE1_identity,rank,0.5,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.08740234375,top1=1/11
GATE1_identity,rank,0.5,Dx_to_Treatment,11,median percentile of the true partner,0.18181818181818182,0.02587890625,top1=0/11
GATE1_identity,rank,1.0,Dx_to_Relapse,11,median percentile of the true partner,0.5416666666666666,0.44287109375,top1=3/11
GATE1_identity,rank,1.0,Dx_to_Treatment,11,median percentile of the true partner,0.36363636363636365,0.083984375,top1=0/11
GATE1_identity,mask,0.0,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.0615234375,top1=1/11
GATE1_identity,mask,0.0,Dx_to_Treatment,11,median percentile of the true partner,0.2727272727272727,0.0615234375,top1=0/11
GATE1_identity,mask,0.5,Dx_to_Relapse,11,median percentile of the true partner,0.2608695652173913,0.1884765625,top1=1/11
GATE1_identity,mask,0.5,Dx_to_Treatment,11,median percentile of the true partner,0.2727272727272727,0.12353515625,top1=0/11
GATE1_identity,mask,1.0,Dx_to_Relapse,11,median percentile of the true partner,0.2608695652173913,0.0615234375,top1=0/11
GATE1_identity,mask,1.0,Dx_to_Treatment,11,median percentile of the true partner,0.6363636363636364,0.71875,top1=0/11
GATE1_identity,const,0.0,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.0615234375,top1=1/11
GATE1_identity,const,0.0,Dx_to_Treatment,11,median percentile of the true partner,0.2727272727272727,0.0615234375,top1=0/11
GATE1_identity,const,0.5,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.083984375,top1=1/11
GATE1_identity,const,0.5,Dx_to_Treatment,11,median percentile of the true partner,0.13043478260869565,0.0244140625,top1=0/11
GATE1_identity,const,1.0,Dx_to_Relapse,11,median percentile of the true partner,0.7083333333333334,0.521484375,top1=3/11
GATE1_identity,const,1.0,Dx_to_Treatment,11,median percentile of the true partner,0.2727272727272727,0.0205078125,top1=1/11
GATE1_identity,logs,0.0,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.0615234375,top1=1/11
GATE1_identity,logs,0.0,Dx_to_Treatment,11,median percentile of the true partner,0.2727272727272727,0.0615234375,top1=0/11
GATE1_identity,logs,0.5,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.0771484375,top1=1/11
GATE1_identity,logs,0.5,Dx_to_Treatment,11,median percentile of the true partner,0.13043478260869565,0.021484375,top1=1/11
