gate,arm,alpha,kind,n,stat,value,p,extra
GATE1_identity,rank_signal,0.0,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.02587890625,top1=0/11
GATE1_identity,rank_signal,0.0,Dx_to_Treatment,11,median percentile of the true partner,0.34782608695652173,0.03759765625,top1=2/11
GATE1_identity,rank_signal,0.5,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.01953125,top1=0/11
GATE1_identity,rank_signal,0.5,Dx_to_Treatment,11,median percentile of the true partner,0.21739130434782608,0.0322265625,top1=2/11
GATE1_identity,rank_signal,1.0,Dx_to_Relapse,11,median percentile of the true partner,0.21739130434782608,0.138671875,top1=2/11
GATE1_identity,rank_signal,1.0,Dx_to_Treatment,11,median percentile of the true partner,0.2608695652173913,0.048828125,top1=1/11
GATE3_question,rank_signal,0.5,Dx_to_Relapse,11,intercept of dHDS ~ dLogDepth,0.003787364922413066,0.8617404355262868,slope=+0.1158 wilcoxon_nocovar_p=0.5771 median_dHDS=-0.0007
GATE2_positive_control,rank_signal,0.5,Dx_to_Treatment,11,intercept of dHDS ~ dLogDepth,-0.051652836542379954,0.06827914397387252,slope=-0.1061 wilcoxon_nocovar_p=0.0737 median_dHDS=-0.0438
GATE3_question,rank_signal,1.0,Dx_to_Relapse,11,intercept of dHDS ~ dLogDepth,0.006840557230498277,0.10157475238622442,slope=+0.0447 wilcoxon_nocovar_p=0.2783 median_dHDS=+0.0106
GATE2_positive_control,rank_signal,1.0,Dx_to_Treatment,11,intercept of dHDS ~ dLogDepth,-0.0010430065380879852,0.415925709261773,slope=+0.0181 wilcoxon_nocovar_p=0.1826 median_dHDS=-0.0043
