gate,arm,alpha,kind,n,stat,value,p,extra
GATE1_identity,walk,0.0,Dx_to_Relapse,11,median percentile of the true partner,0.3333333333333333,0.02587890625,top1=0/11
GATE1_identity,walk,0.0,Dx_to_Treatment,11,median percentile of the true partner,0.34782608695652173,0.03759765625,top1=2/11
GATE1_identity,walk,0.5,Dx_to_Relapse,11,median percentile of the true partner,0.17391304347826086,0.07958984375,top1=1/11
GATE1_identity,walk,0.5,Dx_to_Treatment,11,median percentile of the true partner,0.2727272727272727,0.2021484375,top1=2/11
GATE1_identity,walk,1.0,Dx_to_Relapse,11,median percentile of the true partner,0.16666666666666666,0.0732421875,top1=2/11
GATE1_identity,walk,1.0,Dx_to_Treatment,11,median percentile of the true partner,0.2608695652173913,0.11474609375,top1=2/11
GATE3_question,walk,0.5,Dx_to_Relapse,11,intercept of dHDS ~ dLogDepth,-0.021439082395894635,0.6080139964709709,slope=+0.2125 wilcoxon_nocovar_p=0.1230 median_dHDS=-0.0522
GATE2_positive_control,walk,0.5,Dx_to_Treatment,11,intercept of dHDS ~ dLogDepth,-0.028788676802658557,0.3803785825508555,slope=+0.0588 wilcoxon_nocovar_p=0.1826 median_dHDS=-0.1017
GATE3_question,walk,1.0,Dx_to_Relapse,11,intercept of dHDS ~ dLogDepth,0.0017460246311126583,0.9699578183786006,slope=+0.2187 wilcoxon_nocovar_p=0.8311 median_dHDS=-0.0025
GATE2_positive_control,walk,1.0,Dx_to_Treatment,11,intercept of dHDS ~ dLogDepth,0.11185778504365428,0.7369015648503598,slope=+0.3853 wilcoxon_nocovar_p=0.5508 median_dHDS=+0.0072
