arm,alpha,kind,k,delta,n,frac_targets_moved,intercept,p_two_sided,wilcoxon_p,p_registered
rank,0.5,Dx_to_Treatment,1,0.0,11,0.0,-0.0750008428568861,0.053732920105239224,0.240234375,0.026866460052619612
rank,0.5,Dx_to_Relapse,1,0.0,11,0.0,-0.011058033510116696,0.7581168963242794,0.7646484375,0.7581168963242794
rank,0.5,Dx_to_Treatment,1,0.25,11,1.0,-0.07449673232752776,0.05548772627992484,0.240234375,0.02774386313996242
rank,0.5,Dx_to_Relapse,1,0.25,11,1.0,-0.010767928047435843,0.7643881525715462,0.7646484375,0.7643881525715462
rank,0.5,Dx_to_Treatment,1,0.5,11,1.0,-0.0744210413198099,0.055833473165347244,0.240234375,0.027916736582673622
rank,0.5,Dx_to_Relapse,1,0.5,11,1.0,-0.010635487727441032,0.7670669318515114,0.7646484375,0.7670669318515114
rank,0.5,Dx_to_Treatment,1,1.0,11,1.0,-0.07425244828487937,0.05664446250189719,0.240234375,0.028322231250948595
rank,0.5,Dx_to_Relapse,1,1.0,11,1.0,-0.010221200411673353,0.7753117849200516,0.7646484375,0.7753117849200516
rank,0.5,Dx_to_Treatment,1,2.0,11,1.0,-0.07505376156965714,0.055227944144703375,0.240234375,0.027613972072351688
rank,0.5,Dx_to_Relapse,1,2.0,11,1.0,-0.011012192002070391,0.757420326770685,0.7646484375,0.757420326770685
rank,0.5,Dx_to_Treatment,1,4.0,11,1.0,-0.07544109444521457,0.05373184124404614,0.240234375,0.02686592062202307
rank,0.5,Dx_to_Relapse,1,4.0,11,1.0,-0.01170258630370222,0.7422094414765037,0.7646484375,0.7422094414765037
rank,0.5,Dx_to_Treatment,3,0.0,11,0.0,-0.0750008428568861,0.053732920105239224,0.240234375,0.026866460052619612
rank,0.5,Dx_to_Relapse,3,0.0,11,0.0,-0.011058033510116696,0.7581168963242794,0.7646484375,0.7581168963242794
rank,0.5,Dx_to_Treatment,3,0.25,11,1.0,-0.07394897146822446,0.05799863897050958,0.2783203125,0.02899931948525479
rank,0.5,Dx_to_Relapse,3,0.25,11,0.9393939393939393,-0.010299115165893139,0.7744762236141457,0.7646484375,0.7744762236141457
rank,0.5,Dx_to_Treatment,3,0.5,11,1.0,-0.0737974153174003,0.05864948727660285,0.2783203125,0.029324743638301426
rank,0.5,Dx_to_Relapse,3,0.5,11,0.9393939393939393,-0.010031385019194924,0.780005992263849,0.7646484375,0.780005992263849
rank,0.5,Dx_to_Treatment,3,1.0,11,1.0,-0.0729982722401816,0.060907054805081705,0.2783203125,0.030453527402540852
rank,0.5,Dx_to_Relapse,3,1.0,11,0.9393939393939393,-0.009351663901581578,0.7936270488066085,0.7646484375,0.7936270488066085
rank,0.5,Dx_to_Treatment,3,2.0,11,1.0,-0.07460725724381227,0.058031466231908864,0.2783203125,0.029015733115954432
rank,0.5,Dx_to_Relapse,3,2.0,11,0.9393939393939393,-0.010803435409057299,0.7605280403592799,0.7646484375,0.7605280403592799
rank,0.5,Dx_to_Treatment,3,4.0,11,1.0,-0.075754371591179,0.05506336694278781,0.2783203125,0.027531683471393904
rank,0.5,Dx_to_Relapse,3,4.0,11,0.9393939393939393,-0.011656073212468695,0.7426762759907805,0.7001953125,0.7426762759907805
rank,0.5,Dx_to_Treatment,6,0.0,11,0.0,-0.0750008428568861,0.053732920105239224,0.240234375,0.026866460052619612
rank,0.5,Dx_to_Relapse,6,0.0,11,0.0,-0.011058033510116696,0.7581168963242794,0.7646484375,0.7581168963242794
rank,0.5,Dx_to_Treatment,6,0.25,11,0.9545454545454547,-0.07351920693175065,0.06000925174599529,0.3203125,0.030004625872997646
