mode,k,delta,planted,frac_cells_moved,mean_abs_dC,edge_min_p,edge_min_q,planted_edges_sig,any_edges_sig,omni_healthy,omni_aml,omni_beta,omni_p
mult,1,0.0,B_Plasma->Erythroid,0.0,0.0,0.7566216891554223,0.823876950413682,0,0,0.055859413367618016,0.06056750523608969,0.01602953824134121,0.5237381309345327
mult,1,0.25,B_Plasma->Erythroid,0.3217391304347826,0.010639494315470089,0.8745627186406797,0.9195933947919657,0,0,0.055859413367618016,0.06056461039758406,0.016018122753331757,0.5197401299350325
mult,1,0.5,B_Plasma->Erythroid,0.3217391304347826,0.019377325230166755,0.9500249875062469,0.9500249875062469,0,0,0.055859413367618016,0.060563795594760696,0.016011531722324387,0.5022488755622189
mult,1,1.0,B_Plasma->Erythroid,0.3217391304347826,0.03323271605539943,0.9165417291354323,0.9356363484924205,0,0,0.055859413367618016,0.06056679120021496,0.01601490157792755,0.5137431284357821
mult,1,2.0,B_Plasma->Erythroid,0.3217391304347826,0.05271989000631368,0.7566216891554223,0.823876950413682,0,0,0.055859413367618016,0.060576939518482045,0.016018654027701563,0.5167416291854073
mult,1,4.0,B_Plasma->Erythroid,0.3217391304347826,0.07485254592142683,0.5997001499250375,0.7859972452797991,0,0,0.055859413367618016,0.0607071553473595,0.016148700689602113,0.5342328835582209
mult,3,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.0,0.0,0.1054472763618191,0.77352500220478,0,0,0.055859413367618016,0.06056750523608969,0.01602953824134121,0.5237381309345327
mult,3,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3681159420289855,0.010760077434033854,0.1489255372313843,0.785834355549498,0,0,0.055859413367618016,0.06067771980951642,0.016274874331937465,0.5137431284357821
mult,3,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3681159420289855,0.017621956417585252,0.20389805097451275,0.7545289855072465,0,0,0.055859413367618016,0.06084959314184172,0.016547082854888262,0.495752123938031
mult,3,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3681159420289855,0.02525340326856735,0.26936531734132935,0.776405914689714,0,0,0.055859413367618016,0.061456859895813086,0.017187477669951885,0.45977011494252873
mult,3,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3681159420289855,0.032028678719202425,0.33383308345827084,0.829389652999587,0,1,0.055859413367618016,0.06398909600013039,0.0196582842920838,0.42778610694652675
mult,3,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3681159420289855,0.036967886462129895,0.3698150924537731,0.9244127936031983,0,5,0.055859413367618016,0.07167437059147878,0.026268228466570214,0.2753623188405797
mult,6,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.0,0.0,0.1054472763618191,0.77352500220478,0,0,0.055859413367618016,0.06056750523608969,0.01602953824134121,0.5237381309345327
mult,6,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.3681159420289855,0.010322285047140008,0.14492753623188406,0.7412509961235598,0,0,0.055859413367618016,0.060634534851704724,0.01623900590279048,0.47976011994003
mult,6,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.3681159420289855,0.016617993561654217,0.1924037981009495,0.7361631684157921,0,0,0.055859413367618016,0.06084909507365057,0.016344635108145694,0.5097451274362819
mult,6,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.3681159420289855,0.023243533391943235,0.23888055972013994,0.7403945086280388,0,0,0.055859413367618016,0.06158673667692918,0.017257599386453493,0.47476261869065467
mult,6,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.3695652173913043,0.0286676212838548,0.25487256371814093,0.7577600088844467,0,1,0.055859413367618016,0.06456369661408709,0.021119350708591483,0.3933033483258371
mult,6,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.3695652173913043,0.03178043095541917,0.2448775612193903,0.6951801876839359,0,5,0.055859413367618016,0.07374028463721073,0.03147826746420974,0.19440279860069964
