mode,k,delta,planted,frac_cells_moved,mean_abs_dC,edge_min_p,edge_min_q,planted_edges_sig,any_edges_sig,omni_healthy,omni_aml,omni_beta,omni_p
mult,1,0.0,B_Plasma->Erythroid,0.0,0.0,0.9195402298850575,0.9402278027652841,0,0,0.031197724052631007,0.03178380377559786,0.0013140019644587147,0.7951024487756122
mult,1,0.25,B_Plasma->Erythroid,0.23478260869565218,0.01206743566992014,0.888055972013993,0.9310557487213841,0,0,0.031197724052631007,0.03183883128512505,0.0013607787632255437,0.792103948025987
mult,1,0.5,B_Plasma->Erythroid,0.2608695652173913,0.020585625554569654,0.7741129435282359,0.8717641179410295,0,0,0.031197724052631007,0.031888674529575,0.0014009288741627293,0.8095952023988006
mult,1,1.0,B_Plasma->Erythroid,0.2956521739130435,0.0388642413487134,0.5342328835582209,0.832583708145927,0,0,0.031197724052631007,0.032000431964537564,0.001506273660820946,0.7646176911544228
mult,1,2.0,B_Plasma->Erythroid,0.3217391304347826,0.06317657497781722,0.3548225887056472,0.796274276654776,0,0,0.031197724052631007,0.03223303644828015,0.0017107245957114128,0.7446276861569215
mult,1,4.0,B_Plasma->Erythroid,0.3217391304347826,0.09494232475598935,0.22688655672163918,0.8156956004756243,0,0,0.031197724052631007,0.032610085037288614,0.0020290596427840974,0.6996501749125438
mult,3,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.0,0.0,0.2988505747126437,0.8207933070501787,0,0,0.031197724052631007,0.03178380377559786,0.0013140019644587147,0.7951024487756122
mult,3,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.32753623188405795,0.020763087843833187,0.37881059470264866,0.8425602013807911,0,0,0.031197724052631007,0.03186040094329596,0.0013623170794287937,0.7861069465267366
mult,3,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3507246376811594,0.03271221532091097,0.2908545727136432,0.8262350306328317,0,0,0.031197724052631007,0.031998900856332266,0.0015060784162232773,0.7556221889055472
mult,3,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3710144927536232,0.049393670511682926,0.20339830084957522,0.8393389512140481,0,0,0.031197724052631007,0.03225181278346477,0.0017526507260812237,0.7456271864067966
