mode,k,delta,planted,frac_cells_moved,mean_abs_dC,edge_min_p,edge_min_q,planted_edges_sig,any_edges_sig,omni_healthy,omni_aml,omni_beta,omni_p
mult,1,0.0,B_Plasma->Erythroid,0.0,0.0,0.3803098450774613,0.5823494502748626,0,0,0.33446197328638944,0.3403106453961643,-0.05017400312202619,0.5332333833083458
mult,1,0.25,B_Plasma->Erythroid,0.3217391304347826,0.017985241830676835,0.3568215892053973,0.5782270155244958,0,0,0.33446197328638944,0.34054601950819535,-0.050269624064962666,0.5332333833083458
mult,1,0.5,B_Plasma->Erythroid,0.3217391304347826,0.03377264812264529,0.35282358820589704,0.5550558054306179,0,0,0.33446197328638944,0.34074645667240583,-0.05028061264972022,0.5467266366816592
mult,1,1.0,B_Plasma->Erythroid,0.3217391304347826,0.060471935922886876,0.30684657671164417,0.545727136431784,0,0,0.33446197328638944,0.3410452207346977,-0.050053233581706984,0.5282358820589705
mult,1,2.0,B_Plasma->Erythroid,0.3217391304347826,0.10105912427174751,0.2658670664667666,0.5362818590704648,0,0,0.33446197328638944,0.34105317363778653,-0.0505014991269601,0.527736131934033
mult,1,4.0,B_Plasma->Erythroid,0.3217391304347826,0.1549235903668199,0.2048975512243878,0.528935532233883,0,0,0.33446197328638944,0.3416470324495215,-0.05027713287788409,0.5237381309345327
mult,3,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.0,0.0,0.3803098450774613,0.5823494502748626,0,0,0.33446197328638944,0.3403106453961643,-0.05017400312202619,0.5332333833083458
mult,3,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.7942028985507247,0.025634188274361258,0.3728135932033983,0.5908658573938836,0,0,0.33446197328638944,0.34379794122329327,-0.04718080643121981,0.5732133933033483
mult,3,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.8,0.048933653261259924,0.3683158420789605,0.6251580092306788,0,0,0.33446197328638944,0.34636378653048294,-0.04465230636743766,0.5897051474262869
mult,3,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.8,0.08999608765954191,0.2818590704647676,0.5788905547226387,0,0,0.33446197328638944,0.35110802566170407,-0.0389813962237521,0.6286856571714143
mult,3,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.7913043478260869,0.15623780804119553,0.11694152923538231,0.5422288855572214,0,0,0.33446197328638944,0.3590000087071149,-0.03168488126166088,0.7006496751624188
mult,3,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.7942028985507247,0.2505969428126124,0.022988505747126436,0.37547892720306514,0,0,0.33446197328638944,0.37690198279755877,-0.012965636932552439,0.8610694652673663
mult,6,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.0,0.0,0.22038980509745126,0.5734874498234753,0,0,0.33446197328638944,0.3403106453961643,-0.05017400312202619,0.5332333833083458
mult,6,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.8579710144927536,0.02679752158121881,0.25787106446776614,0.568320006663335,0,0,0.33446197328638944,0.3423962372049727,-0.04833932748570442,0.5412293853073463
mult,6,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.8536231884057971,0.04994459573940553,0.23438280859570215,0.5583208395802098,0,0,0.33446197328638944,0.3434662752452161,-0.0470389259984514,0.5817091454272864
mult,6,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.8579710144927536,0.08853887871497816,0.22138930534732634,0.5465667166416792,0,0,0.33446197328638944,0.34507049299651765,-0.0454180070164472,0.5602198900549725
mult,6,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.863768115942029,0.1465436998065582,0.1344327836081959,0.4705147426286857,0,0,0.33446197328638944,0.349828328054609,-0.042045751400904906,0.5797101449275363
mult,6,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.8608695652173913,0.22352233575391284,0.04247876061969016,0.26392359375867624,0,0,0.33446197328638944,0.36730716780673106,-0.021528813920704545,0.7936031984007996
add,1,0.0,B_Plasma->Erythroid,0.0,0.0,0.3803098450774613,0.5823494502748626,0,0,0.33446197328638944,0.3403106453961643,-0.05017400312202619,0.5332333833083458
add,1,0.25,B_Plasma->Erythroid,1.0,0.8166315079874351,0.0004997501249375312,0.02448775612193903,1,3,0.33446197328638944,0.31228567905416804,-0.08053369311476255,0.12643678160919541
add,1,0.5,B_Plasma->Erythroid,1.0,1.0330526151545534,0.0004997501249375312,0.012243878060969516,1,5,0.33446197328638944,0.30281583424547776,-0.09280095615171867,0.06746626686656672
add,1,1.0,B_Plasma->Erythroid,1.0,1.2591545621560993,0.0004997501249375312,0.004897551224387806,1,8,0.33446197328638944,0.2951725385550127,-0.10436191940365007,0.026986506746626688
add,1,2.0,B_Plasma->Erythroid,1.0,1.4683320687163692,0.0004997501249375312,0.0034982508745627187,1,8,0.33446197328638944,0.28619218554886255,-0.11601547028049836,0.010994502748625687
add,1,4.0,B_Plasma->Erythroid,1.0,1.6381322485321823,0.0004997501249375312,0.0034982508745627187,1,9,0.33446197328638944,0.29280603587236587,-0.11828142187398068,0.005997001499250375
add,3,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.0,0.0,0.3803098450774613,0.5823494502748626,0,0,0.33446197328638944,0.3403106453961643,-0.05017400312202619,0.5332333833083458
add,3,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,1.0,0.6882438703583155,0.0004997501249375312,0.012243878060969516,3,5,0.33446197328638944,0.33347489221839877,-0.06360619197806004,0.26036981509245377
add,3,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,1.0,0.7780781661504638,0.0004997501249375312,0.008162585373979677,3,8,0.33446197328638944,0.3475079041738119,-0.047522880245657165,0.4032983508245877
add,3,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,1.0,0.8818259325095662,0.0004997501249375312,0.004897551224387806,3,12,0.33446197328638944,0.3820571442538937,-0.002001502924508013,0.9715142428785607
add,3,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,1.0,0.995616443133486,0.0004997501249375312,0.0034982508745627187,3,19,0.33446197328638944,0.4351200122501933,0.07187008941605962,0.3193403298350825
add,3,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,1.0,1.116087687749233,0.0004997501249375312,0.002448775612193903,3,20,0.33446197328638944,0.5233830931067707,0.1624828451606415,0.07196401799100449
