edge,raw_logweight_beta_global,raw_logweight_q_global,raw_logweight_beta_strat,raw_logweight_q_strat,rank_C_beta_global,rank_C_q_global,rank_C_beta_strat,rank_C_q_strat
B_Plasma->Erythroid,0.5074051670827882,0.13454808365317314,0.17893541728484236,0.9264667283271673,-0.12142464043239179,0.8209129087091289,0.00094544111138016,0.9975002499750025
Erythroid->B_Plasma,0.6445542566986032,0.0734926507349265,0.415471471440946,0.9264667283271673,-0.41367543704184007,0.572153895721539,-0.2855904035514077,0.8444795520447955
B_Plasma->T_NK,-0.5748615807786809,0.09211078892110788,-0.21995513777754386,0.9264667283271673,0.47001713011621366,0.572153895721539,0.3943776997745783,0.8444795520447955
HSC_MPP->B_Plasma,0.0032645446835300788,0.9897010298970103,-0.38087760960218553,0.9264667283271673,0.3068039667983255,0.5742741515322152,0.7761015780455279,0.4336066393360664
Erythroid->Mono_DC,0.38977718296885483,0.25547445255474455,0.23069947934575807,0.9264667283271673,-0.3166231054211514,0.572153895721539,-0.2504905862478746,0.8444795520447955
Erythroid->T_NK,0.7522192949166288,0.0587941205879412,0.49074242082305924,0.9264667283271673,-0.6368719371019503,0.5144485551444856,-0.37412270730137576,0.8444795520447955
Erythroid->HSC_MPP,0.6988127065725014,0.060018998100189985,0.40177199707815126,0.9264667283271673,-0.3276855203430632,0.572153895721539,-0.10785433731101102,0.8554311235543113
Erythroid->Erythroid,0.7949155456942862,0.026947305269473056,0.3615345809078261,0.9264667283271673,-0.3950094582366721,0.572153895721539,-0.05500698384024879,0.9443273063997949
HSC_MPP->Erythroid,0.6721192259709652,0.06369363063693631,0.23287130631732816,0.9264667283271673,-0.2887071262237148,0.5968069859680699,0.07171575623709942,0.9186581341865814
LMPP_GMP->HSC_MPP,0.4811432287606145,0.14894510548945109,0.16916379480148777,0.9264667283271673,-0.19117884768179666,0.7651984801519848,0.14889891000332287,0.8554311235543113
LMPP_GMP->B_Plasma,-0.1206791191098624,0.7181122796811228,0.24030276851209945,0.9264667283271673,0.10799914079306629,0.8209129087091289,-0.24652415712704,0.8444795520447955
LMPP_GMP->Erythroid,0.7964331311205304,0.026947305269473056,0.35604628585752124,0.9264667283271673,-0.31681064726681757,0.572153895721539,0.027374197056836563,0.9514236076392361
HSC_MPP->T_NK,0.2497763354331911,0.5533384161583842,-0.3057850294935681,0.9264667283271673,0.13151817263325957,0.8209129087091289,0.7272412249189865,0.4336066393360664
HSC_MPP->Mono_DC,-0.06079950249780955,0.8534733483173421,-0.3636244845553984,0.9264667283271673,0.21850256402622645,0.7353184681531847,0.5333024534900396,0.8444795520447955
HSC_MPP->Megakaryocyte,0.2782283177360151,0.47035296470352966,0.2045102402578562,0.9264667283271673,-0.09307788546965774,0.8402659734026598,-0.41786189169099897,0.8444795520447955
HSC_MPP->HSC_MPP,0.533855103829572,0.10942239109422391,0.18329335720588494,0.9264667283271673,-0.1600339600820472,0.8209129087091289,0.3029773583119016,0.8444795520447955
Megakaryocyte->HSC_MPP,0.16635882324587153,0.668267383787937,0.19765378435785147,0.9264667283271673,0.11184979982338784,0.8209129087091289,-0.19436074666507966,0.8554311235543113
LMPP_GMP->Mono_DC,-0.06939424991047119,0.8508815785088159,0.25610799081400554,0.9264667283271673,0.009811616339231485,0.9760023997600241,-0.34868757807430506,0.8444795520447955
LMPP_GMP->T_NK,0.12725889630962106,0.7181122796811228,0.30127471669143113,0.9264667283271673,-0.2909391666550875,0.5968069859680699,-0.4299069796058668,0.8444795520447955
Megakaryocyte->B_Plasma,0.008367127840643673,0.9897010298970103,0.2568312113966522,0.9264667283271673,0.12425276159476259,0.8209129087091289,-0.23914589299071703,0.851949420442571
LMPP_GMP->LMPP_GMP,0.6138815312600392,0.0734926507349265,0.22843156409180543,0.9264667283271673,-0.3184512828090115,0.572153895721539,-0.13602720826065567,0.8554311235543113
T_NK->T_NK,-0.3235071626018347,0.39951421524514213,-0.22032372935551892,0.9264667283271673,0.38192983950966114,0.572153895721539,0.4108333324004657,0.8444795520447955
T_NK->HSC_MPP,0.4229357444928621,0.23953160239531604,0.2198359237739696,0.9264667283271673,0.007022165234200455,0.9760023997600241,0.24390476593892982,0.8444795520447955
T_NK->LMPP_GMP,0.6329644249481945,0.0734926507349265,0.2939691337969151,0.9264667283271673,-0.25030373192014327,0.6608214178582142,-0.3422806317023338,0.8444795520447955
T_NK->Erythroid,0.5902129604815552,0.09091313090913132,0.16720349894088926,0.9264667283271673,-0.33344179251217443,0.572153895721539,-0.14323004643480197,0.8554311235543113
