arm,sample,uid_patient,retest,median_to_other_patients,n_edges_half
tv,1216_Dg,GSE227903:1216,0.11285057000598844,0.5132070615622343,29
tv,1216_MRD,GSE227903:1216,0.05771144288213774,0.41175880737137294,24
tv,1216_R,GSE227903:1216,0.11168754057141565,0.45866105755051023,31
tv,1886_Dg,GSE227903:1886,0.11931411476326612,0.5070117773670382,33
tv,1886_MRD,GSE227903:1886,0.08629664173485727,0.4271606092331669,24
tv,1886_R,GSE227903:1886,0.1582654931914218,0.481300351216956,34
tv,3853_Dg,GSE227903:3853,0.29082173334323763,0.5855336205274673,14
tv,3853_R,GSE227903:3853,0.41529164047897194,0.5685242214503248,16
tv,3904_Dg,GSE227903:3904,0.135261430013347,0.4364327237820953,21
tv,3904_MRD,GSE227903:3904,0.09180948110172041,0.5152765353559947,33
tv,3904_R,GSE227903:3904,0.2390630641078899,0.4771400961922655,23
tv,40389_Dg,GSE227903:40389,0.14393742967550818,0.4246488201871401,34
tv,40389_MRD,GSE227903:40389,0.08072635830180626,0.5449556580755652,16
tv,40389_R,GSE227903:40389,0.09562965098729068,0.4244514125260227,33
tv,4978_Dg,GSE227903:4978,0.13065325070382472,0.4282545167288356,24
tv,4978_MRD,GSE227903:4978,0.08029524153021671,0.5411576868183767,23
tv,4978_R,GSE227903:4978,0.0602125165433914,0.7825290511708967,7
tv,5143_Dg,GSE227903:5143,0.12090812852354718,0.48286202562598174,16
tv,5143_R,GSE227903:5143,0.13160529908518948,0.49401885387463024,15
tv,5750_Dg,GSE227903:5750,0.04408930522093749,0.4226582398271258,24
tv,5750_MRD,GSE227903:5750,0.38913353724603367,0.4882777760041182,24
tv,5750_R,GSE227903:5750,0.04394830318339732,0.49097141479726336,33
tv,6323_Dg,GSE227903:6323,0.19138987969345556,0.5114633247001583,15
tv,6323_MRD,GSE227903:6323,0.1334765730139031,0.47040479197336366,32
tv,6323_R,GSE227903:6323,0.19688807986218332,0.46762930885147436,21
tv,AML328-D0,GSE116256:AML328,0.2695421239060593,0.5395031078445625,19
tv,AML328-D29,GSE116256:AML328,0.0941235233188046,0.6782200642026668,13
tv,AML329-D0,GSE116256:AML329,0.3098973791648436,0.8243142218913124,5
tv,AML329-D20,GSE116256:AML329,0.2995532783319069,0.6975481885648671,7
tv,AML556-D0,GSE116256:AML556,0.28239907815572673,0.7710549336257546,13
tv,AML556-D31,GSE116256:AML556,0.4146881156656269,0.6458390408422656,18
tv,AML707B-D0,GSE116256:AML707B,0.1834112295265917,0.7630961101292535,8
tv,AML707B-D113,GSE116256:AML707B,0.313192834131465,0.8310443349922496,7
tv,GSM6085177_AML01M4_P,GSE201966:AML01M4,0.15356760955536639,0.5112776283973725,22
tv,GSM6085178_AML01M4_RE,GSE201966:AML01M4,0.13114828923906735,0.5171773913051114,32
tv,GSM6085181_AML03M5_P,GSE201966:AML03M5,0.08228735133868832,0.6334138320721486,15
tv,GSM6085182_AML03M5_RE,GSE201966:AML03M5,0.11069849138002785,0.6145869077199289,16
tabular,1216_Dg,GSE227903:1216,0.05899155944032681,0.23776085601445704,29
tabular,1216_MRD,GSE227903:1216,0.02932572860845457,0.19460816902693517,24
tabular,1216_R,GSE227903:1216,0.050171452346530546,0.20361850729591718,31
tabular,1886_Dg,GSE227903:1886,0.05346859866674574,0.22395584979835315,33
