gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
LINC00937,-3.41222358364196,5.02977567043957e-14,5.5473395869278e-10,-3.33129020912146,3.66797777443199e-12,2.1219251425089e-08,TRUE,TRUE,TRUE,primary,Mono_DC
WLS,-4.33010658930871,1.67732402135584e-13,9.24960331576676e-10,-3.95566460794072,3.12950904704857e-12,2.1219251425089e-08,TRUE,TRUE,TRUE,primary,Mono_DC
STEAP4,-4.81649027382599,2.57594919626864e-13,9.4700478952156e-10,-4.52171704916127,6.86628752498027e-12,2.64809822213406e-08,TRUE,TRUE,TRUE,primary,Mono_DC
RPH3A,-4.18997464872216,6.14719929702011e-13,1.69493652617087e-09,-4.07218344347104,1.08860467657447e-11,3.14878902699165e-08,TRUE,TRUE,TRUE,primary,Mono_DC
NRG1,-5.1066214988148,3.35506085053245e-12,6.16716102008707e-09,-4.65167518983351,1.76965331441077e-10,2.92498412110465e-07,TRUE,TRUE,TRUE,primary,Mono_DC
PLA2G7,-4.19887321810364,3.34526111784227e-12,6.16716102008707e-09,-3.69070179920734,1.0144333471675e-10,2.33898358904282e-07,TRUE,TRUE,TRUE,primary,Mono_DC
RBP7,-4.8964145936165,8.18338100296836e-12,1.28935012973912e-08,-4.79649123336893,1.21295605309048e-10,2.33898358904282e-07,TRUE,TRUE,TRUE,primary,Mono_DC
OLFM1,-4.29078147279458,2.32174947177001e-11,3.20082186551893e-08,-3.99943416587134,5.00344442902236e-10,7.2362315054736e-07,TRUE,TRUE,TRUE,primary,Mono_DC
ALDH1A1,-3.84357234448609,3.07539299922256e-11,3.76872326538062e-08,-3.4740763517873,6.67225949433532e-10,7.71980423494597e-07,TRUE,TRUE,TRUE,primary,Mono_DC
TIAM1,-3.84611564972606,3.7359470279115e-11,4.12037597708359e-08,-3.33154249450759,6.24624764001067e-10,7.71980423494597e-07,TRUE,TRUE,TRUE,primary,Mono_DC
RTN1,-3.82972001050727,5.74357929006111e-11,5.758721453644e-08,-3.33864606415184,2.00688355392134e-09,2.11087661080636e-06,TRUE,TRUE,TRUE,primary,Mono_DC
LYPD2,-5.59565051007589,6.51910082059772e-11,5.99159691253102e-08,-4.74651845438528,3.50917450555908e-09,3.38342908577655e-06,TRUE,TRUE,TRUE,primary,Mono_DC
PID1,-3.94960252155455,9.20663013997625e-10,7.81076337029216e-07,-3.46913887663595,3.01273130973713e-08,2.68133086566605e-05,TRUE,TRUE,TRUE,primary,Mono_DC
SEMA3C,-3.64131729909669,1.99099823919354e-09,1.56847997000468e-06,-3.27592702316561,4.98869051336919e-08,3.84794328264544e-05,TRUE,TRUE,TRUE,primary,Mono_DC
CMTM2,-2.96443055030384,2.97575462857404e-09,2.18797318656954e-06,-2.77488174983282,3.80745914749742e-08,3.14659302403894e-05,TRUE,TRUE,TRUE,primary,Mono_DC
ARPIN,-2.78106095513174,6.24690758059553e-09,4.30607148164925e-06,-2.55016009426581,1.14604929527439e-07,7.36655019240258e-05,TRUE,TRUE,TRUE,primary,Mono_DC
KLF12,-2.89080976778605,7.44818671324196e-09,4.77558741507204e-06,-2.76637050377437,1.31602162824149e-07,8.01387907302844e-05,TRUE,TRUE,TRUE,primary,Mono_DC
ST6GALNAC3,-2.60482947848885,7.79404963925077e-09,4.77558741507204e-06,-2.39374658692135,6.86628596848764e-08,4.67311345031777e-05,TRUE,TRUE,TRUE,primary,Mono_DC
HES1,-4.45709418093171,9.51280202954282e-09,5.52193124125409e-06,-4.16214884735866,5.65551253297761e-08,4.08964250040943e-05,TRUE,TRUE,TRUE,primary,Mono_DC
ARSG,-1.83472714775221,2.93910174131306e-08,1.62076765524709e-05,-1.74965546240652,3.3068019213582e-07,0.00015575996787688,TRUE,TRUE,TRUE,primary,Mono_DC
CLEC4D,-3.37109148103564,3.20152300822053e-08,1.6814093932221e-05,-3.16297878379117,3.36559999733968e-07,0.00015575996787688,TRUE,TRUE,TRUE,primary,Mono_DC
SCN9A,-3.43684119964447,3.83884399333825e-08,1.92448229102398e-05,-2.96593740973132,1.05965090106486e-06,0.000340560025703344,TRUE,TRUE,TRUE,primary,Mono_DC
ZNF710,-1.01123204775663,4.03036896430952e-08,1.93264953510303e-05,-1.00595482707984,2.48368024055648e-07,0.000136838954205898,TRUE,TRUE,TRUE,primary,Mono_DC
MPZL2,-2.16538710692572,4.36163781701153e-08,2.00435431182584e-05,-2.05601642020068,1.88969369808419e-07,0.000109318780434171,TRUE,TRUE,TRUE,primary,Mono_DC
EXT1,-1.80565403822883,4.67351705760949e-08,2.061768785135e-05,-1.72460077708013,5.29199524721018e-07,0.000226771796334155,TRUE,TRUE,TRUE,primary,Mono_DC
TNFRSF8,-2.56054526310696,5.50273484909991e-08,2.33421779425857e-05,-2.15707040323843,1.21946747842382e-06,0.00037129575593062,TRUE,TRUE,TRUE,primary,Mono_DC
PCSK5,-2.50931903234051,6.49169213046451e-08,2.65173601877382e-05,-2.5356692571484,2.7451832321896e-07,0.000138094652158407,TRUE,TRUE,TRUE,primary,Mono_DC
CLEC4E,-3.29761018634209,7.07653254746667e-08,2.78739562378607e-05,-3.04554631898918,7.7246873835807e-07,0.000288305267832351,TRUE,TRUE,TRUE,primary,Mono_DC
LIPN,-2.37310882236987,9.12447203432551e-08,3.470131105744e-05,-2.09458512441453,1.46045237195009e-06,0.000433267537011861,TRUE,TRUE,TRUE,primary,Mono_DC
GPR155,-1.8614443589167,9.67397632357142e-08,3.55647616242231e-05,-1.78553950882025,8.159555341766e-07,0.000295018922825727,TRUE,TRUE,TRUE,primary,Mono_DC
TGFBI,-3.68393604134069,1.00458783389369e-07,3.5740642645205e-05,-3.5364186109814,6.00235381077617e-07,0.00024802583425243,TRUE,TRUE,TRUE,primary,Mono_DC
FOLR2,-1.97695494969317,1.07429932559302e-07,3.70263976936419e-05,-1.99926837038432,3.52971780256673e-07,0.00015707244221422,TRUE,TRUE,TRUE,primary,Mono_DC
CYP1B1-AS1,-2.06600945079852,1.77737577259629e-07,5.94020527150439e-05,-1.85905700666042,3.65403774246257e-06,0.000871324532453805,TRUE,TRUE,TRUE,primary,Mono_DC
EPB41L3,-2.97749562332607,2.0607275210376e-07,6.49364680843535e-05,-2.89119937327256,1.61267439141492e-06,0.000466466067716765,TRUE,TRUE,TRUE,primary,Mono_DC
HPSE,-2.33970004389044,2.04675007388083e-07,6.49364680843535e-05,-2.33832719206559,1.1332993452484e-06,0.000354385768230378,TRUE,TRUE,TRUE,primary,Mono_DC
METTL22,-0.834210782957485,2.56335299234475e-07,7.85311670904728e-05,-0.839131186825625,7.66029566620673e-07,0.000288305267832351,FALSE,FALSE,FALSE,primary,Mono_DC
HOXB-AS3,6.57041372872306,2.78120809314023e-07,8.2902551511469e-05,6.19936019040747,7.45903231658636e-07,0.000288305267832351,TRUE,TRUE,TRUE,primary,Mono_DC
GLT1D1,-2.50342937605258,2.8600943661409e-07,8.30104756951788e-05,-2.34519083243717,3.6285957867995e-06,0.000871324532453805,TRUE,TRUE,TRUE,primary,Mono_DC
OSM,-2.71985270865749,2.97880231741266e-07,8.42390019454979e-05,-2.78855153490189,8.7998828344771e-07,0.000308529225439091,TRUE,TRUE,TRUE,primary,Mono_DC
CPED1,-2.41662014757124,4.35647618410018e-07,0.000120118939586102,-2.23315649936362,5.1235426814404e-06,0.0011184790344201,TRUE,TRUE,TRUE,primary,Mono_DC
SHROOM1,-1.75996545872182,4.59635349671349e-07,0.000123641909061593,-1.69074168730533,3.35012480661527e-06,0.000871324532453805,TRUE,TRUE,TRUE,primary,Mono_DC
CLEC10A,-3.35311180778977,4.95455090706329e-07,0.000124945410688882,-3.23496340291086,3.44304749383965e-06,0.000871324532453805,TRUE,TRUE,TRUE,primary,Mono_DC
SLC18B1,-2.35614613662524,4.81565174614743e-07,0.000124945410688882,-2.15065918590162,6.12297487740813e-06,0.00124285647950197,TRUE,TRUE,TRUE,primary,Mono_DC
MTMR11,-1.8412408750884,4.98467501161556e-07,0.000124945410688882,-1.98977130768206,2.72275804073202e-07,0.000138094652158407,TRUE,TRUE,TRUE,primary,Mono_DC
FPR2,-2.68903232685152,5.19312113449877e-07,0.000127277628871971,-2.35646387214619,7.99986102794138e-06,0.00142988639512013,TRUE,TRUE,TRUE,primary,Mono_DC
