gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
HOXB-AS3,1.8510050822337,3.11601709919192e-05,0.279849495678427,1.90347466148549,0.000172539171958552,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
VPREB1,-4.58706553534169,0.000141026509413343,0.316639770260309,-4.72978603844197,0.00153102880459802,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
NUDT8,-1.98330401459074,0.00013413259263004,0.316639770260309,-1.77415385165382,0.000335794843691776,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
F11R,1.74614440485628,9.8095251199854e-05,0.316639770260309,1.90007688918643,0.000392700834263243,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
PRSS2,-3.63604090716629,0.000271436393670799,0.406670810327604,-3.22986056197972,0.00146178351280323,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
HOXB6,1.67095293960545,0.000271687435916448,0.406670810327604,1.45686227886696,0.00254564561904015,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
TMIGD2,-2.78030357965903,0.00042812772025745,0.42722389507024,-2.6731835549807,0.00131529101565021,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
SDK2,-2.71262235079341,0.000404006751828279,0.42722389507024,-3.03292547020463,0.00250655122793938,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
IL3RA,1.5156027332955,0.000361387624692417,0.42722389507024,1.82587179319977,0.000291558207039945,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
DPEP3,-2.98211443206845,0.000758586810546826,0.504287262108828,-3.14657595349783,0.00292619300089288,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
TRBC2,-2.84662185889011,0.000690412961223791,0.504287262108828,-2.65351127404448,0.00160303496497657,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
C1QTNF4,-2.64737154496742,0.000567504597720606,0.504287262108828,-2.74026240719721,0.00108224339345422,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ZMYND19,-1.48241461979193,0.000786106410146263,0.504287262108828,-1.46892100519783,0.00236880707891616,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
PRDX1,-1.34582054145781,0.000637308449921739,0.504287262108828,-1.11466914090829,0.00224582296359801,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
SLFN11,-1.38798778554372,0.000845500106791162,0.506229097272762,-1.42529734342959,0.00174782617447284,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
CD68,1.95691214568028,0.000935964536795161,0.525368594059834,2.21084269472442,0.00224144161312356,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
