gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
HOXB3,4.17083220612034,2.7241655620306e-09,2.58714003426046e-05,4.14793643151324,1.63078081387925e-08,0.000167350727120288,TRUE,TRUE,TRUE,secondary,LMPP_GMP
HOXB-AS3,5.36936636998594,3.96180456918049e-08,0.000188126289967536,5.32972193054655,2.03732809480248e-07,0.000696902030295436,TRUE,TRUE,TRUE,secondary,LMPP_GMP
TMIGD2,-4.3543810308301,6.89714924411685e-08,0.000218340754571259,-4.32625942141682,3.80839035328817e-07,0.00097704254513608,TRUE,TRUE,TRUE,secondary,LMPP_GMP
HOXA3,2.95792521284478,1.6394976310526e-07,0.000389257725052664,2.94259299082966,7.5785648891104e-07,0.00155542465784102,TRUE,TRUE,TRUE,secondary,LMPP_GMP
TRH,-4.4322569377393,6.42883774891115e-07,0.000678385245571214,-4.53284021198449,2.11823034268904e-06,0.00217372797766749,TRUE,TRUE,TRUE,secondary,LMPP_GMP
CD48,-4.07123558957399,4.19463793298811e-07,0.000678385245571214,-4.05648237123377,1.95422889238042e-06,0.00217372797766749,TRUE,TRUE,TRUE,secondary,LMPP_GMP
HOXB6,3.47953649732047,5.90900049881421e-07,0.000678385245571214,3.54464236234897,1.43175195104145e-06,0.00217372797766749,TRUE,TRUE,TRUE,secondary,LMPP_GMP
PBX3,2.64032050197749,4.98518097187122e-07,0.000678385245571214,2.65140716141254,1.97762119164948e-07,0.000696902030295436,TRUE,TRUE,TRUE,secondary,LMPP_GMP
MEIS1,2.45112674560643,6.33240177291086e-07,0.000678385245571214,2.45023708970658,1.98624026927712e-06,0.00217372797766749,TRUE,TRUE,TRUE,secondary,LMPP_GMP
TUSC1,-4.39695671351279,7.93635932938664e-07,0.000753716045511849,-4.36201417634708,3.64821000337938e-06,0.00292954750264278,TRUE,TRUE,TRUE,secondary,LMPP_GMP
GNG2,-3.46604496279275,9.00563122158759e-07,0.000777513451921976,-3.51758143607321,2.63332189841592e-06,0.00245664993832219,TRUE,TRUE,TRUE,secondary,LMPP_GMP
APP,-6.21239124484106,1.19817326453686e-06,0.000946856233439164,-6.19452932579054,3.71117886711715e-06,0.00292954750264278,TRUE,TRUE,TRUE,secondary,LMPP_GMP
DSG2,-4.76620204585749,1.29610730069592e-06,0.000946856233439164,-4.87280413547846,6.72823451014702e-06,0.00406147897312522,TRUE,TRUE,TRUE,secondary,LMPP_GMP
CLDN10,-4.13223643483727,1.54852452881893e-06,0.00105045267501381,-4.04475986465178,6.65716681914332e-06,0.00406147897312522,TRUE,TRUE,TRUE,secondary,LMPP_GMP
BAHCC1,1.86044372117038,2.30652657180938e-06,0.00146033885683158,1.87490690820109,5.78183385624382e-06,0.00395554526885161,TRUE,TRUE,TRUE,secondary,LMPP_GMP
CCDC152,-4.96669088539627,5.43256737914065e-06,0.00184627644861378,-5.07170574598786,1.0300711474807e-05,0.00484854085760912,TRUE,TRUE,TRUE,secondary,LMPP_GMP
TRBC2,-4.55100886134351,4.81749716660603e-06,0.00184627644861378,-4.43531603361629,1.77211940066941e-05,0.00604988339805122,TRUE,TRUE,TRUE,secondary,LMPP_GMP
UGT3A2,-4.32098061239685,3.38399199320859e-06,0.00184627644861378,-4.47457373909281,1.37462352625324e-05,0.00529669652551761,TRUE,TRUE,TRUE,secondary,LMPP_GMP
BEND4,-4.11828534223473,5.0820012449019e-06,0.00184627644861378,-4.24270423004324,1.39359585060393e-05,0.00529669652551761,TRUE,TRUE,TRUE,secondary,LMPP_GMP
