dataset,hierarchy_bin,set,gene,n_dropped
Chen2023,Mono_DC,L,HOXA-AS3,0
Chen2023,Mono_DC,L,HOXA10,0
Chen2023,Mono_DC,L,HOXA10-AS,0
Chen2023,Mono_DC,L,HOXA3,0
Chen2023,Mono_DC,L,HOXA4,0
Chen2023,Mono_DC,L,HOXA5,0
Chen2023,Mono_DC,L,HOXA6,0
Chen2023,Mono_DC,L,HOXA7,0
Chen2023,Mono_DC,L,HOXA9,0
Chen2023,Mono_DC,L,HOXB-AS1,0
Chen2023,Mono_DC,L,HOXB-AS3,0
Chen2023,Mono_DC,L,HOXB2,0
Chen2023,Mono_DC,L,HOXB3,0
Chen2023,Mono_DC,L,HOXB4,0
Chen2023,Mono_DC,L,HOXB5,0
Chen2023,Mono_DC,L,HOXB6,0
Chen2023,Mono_DC,L,HOXB7,0
Chen2023,Mono_DC,L,MEIS1,0
Chen2023,Mono_DC,L,PBX3,0
Chen2023,Mono_DC,D,HOXA10,0
Chen2023,Mono_DC,D,HOXA10-AS,0
Chen2023,Mono_DC,D,HOXA3,0
Chen2023,Mono_DC,D,HOXA7,0
Chen2023,Mono_DC,D,HOXA9,0
Chen2023,Mono_DC,D,HOXB-AS3,0
Chen2023,Mono_DC,D,HOXB3,0
Chen2023,Mono_DC,D,HOXB4,0
Chen2023,Mono_DC,D,HOXB5,0
Chen2023,Mono_DC,D,HOXB6,0
Chen2023,Mono_DC,D,HOXB7,0
Chen2023,Mono_DC,D,MEIS1,0
GSE116256,Mono_DC,L,HOXA-AS3,0
GSE116256,Mono_DC,L,HOXA10,0
GSE116256,Mono_DC,L,HOXA10-AS,0
GSE116256,Mono_DC,L,HOXA3,0
GSE116256,Mono_DC,L,HOXA4,0
GSE116256,Mono_DC,L,HOXA5,0
GSE116256,Mono_DC,L,HOXA6,0
GSE116256,Mono_DC,L,HOXA7,0
GSE116256,Mono_DC,L,HOXA9,0
GSE116256,Mono_DC,L,HOXB-AS1,0
GSE116256,Mono_DC,L,HOXB-AS3,0
GSE116256,Mono_DC,L,HOXB2,0
GSE116256,Mono_DC,L,HOXB3,0
GSE116256,Mono_DC,L,HOXB4,0
GSE116256,Mono_DC,L,HOXB5,0
GSE116256,Mono_DC,L,HOXB6,0
GSE116256,Mono_DC,L,HOXB7,0
GSE116256,Mono_DC,L,MEIS1,0
GSE116256,Mono_DC,L,PBX3,0
GSE116256,Mono_DC,D,HOXA10,0
GSE116256,Mono_DC,D,HOXA10-AS,0
GSE116256,Mono_DC,D,HOXA3,0
GSE116256,Mono_DC,D,HOXA7,0
GSE116256,Mono_DC,D,HOXA9,0
GSE116256,Mono_DC,D,HOXB-AS3,0
GSE116256,Mono_DC,D,HOXB3,0
GSE116256,Mono_DC,D,HOXB4,0
GSE116256,Mono_DC,D,HOXB5,0
GSE116256,Mono_DC,D,HOXB6,0
GSE116256,Mono_DC,D,HOXB7,0
GSE116256,Mono_DC,D,MEIS1,0
GSE185381,Mono_DC,L,HOXA-AS3,0
GSE185381,Mono_DC,L,HOXA10,0
GSE185381,Mono_DC,L,HOXA10-AS,0
GSE185381,Mono_DC,L,HOXA3,0
GSE185381,Mono_DC,L,HOXA4,0
GSE185381,Mono_DC,L,HOXA5,0
GSE185381,Mono_DC,L,HOXA6,0
GSE185381,Mono_DC,L,HOXA7,0
GSE185381,Mono_DC,L,HOXA9,0
GSE185381,Mono_DC,L,HOXB-AS1,0
GSE185381,Mono_DC,L,HOXB-AS3,0
GSE185381,Mono_DC,L,HOXB2,0
GSE185381,Mono_DC,L,HOXB3,0
GSE185381,Mono_DC,L,HOXB4,0
GSE185381,Mono_DC,L,HOXB5,0
GSE185381,Mono_DC,L,HOXB6,0
GSE185381,Mono_DC,L,HOXB7,0
GSE185381,Mono_DC,L,MEIS1,0
GSE185381,Mono_DC,L,PBX3,0
GSE185381,Mono_DC,D,HOXA10,0
GSE185381,Mono_DC,D,HOXA10-AS,0
GSE185381,Mono_DC,D,HOXA3,0
GSE185381,Mono_DC,D,HOXA7,0
GSE185381,Mono_DC,D,HOXA9,0
GSE185381,Mono_DC,D,HOXB-AS3,0
GSE185381,Mono_DC,D,HOXB3,0
GSE185381,Mono_DC,D,HOXB4,0
GSE185381,Mono_DC,D,HOXB5,0
GSE185381,Mono_DC,D,HOXB6,0
GSE185381,Mono_DC,D,HOXB7,0
GSE185381,Mono_DC,D,MEIS1,0
Chen2023,LMPP_GMP,L,HOXA10,0
Chen2023,LMPP_GMP,L,HOXA10-AS,0
Chen2023,LMPP_GMP,L,HOXA3,0
Chen2023,LMPP_GMP,L,HOXA4,0
Chen2023,LMPP_GMP,L,HOXA5,0
Chen2023,LMPP_GMP,L,HOXA6,0
Chen2023,LMPP_GMP,L,HOXA7,0
Chen2023,LMPP_GMP,L,HOXA9,0
Chen2023,LMPP_GMP,L,HOXB-AS1,0
Chen2023,LMPP_GMP,L,HOXB-AS3,0
Chen2023,LMPP_GMP,L,HOXB2,0
Chen2023,LMPP_GMP,L,HOXB3,0
Chen2023,LMPP_GMP,L,HOXB4,0
Chen2023,LMPP_GMP,L,HOXB5,0
Chen2023,LMPP_GMP,L,HOXB6,0
Chen2023,LMPP_GMP,L,MEIS1,0
Chen2023,LMPP_GMP,L,PBX3,0
Chen2023,LMPP_GMP,D,HOXA10-AS,0
Chen2023,LMPP_GMP,D,HOXA3,0
Chen2023,LMPP_GMP,D,HOXA4,0
Chen2023,LMPP_GMP,D,HOXA5,0
Chen2023,LMPP_GMP,D,HOXA6,0
Chen2023,LMPP_GMP,D,HOXA9,0
Chen2023,LMPP_GMP,D,HOXB-AS3,0
Chen2023,LMPP_GMP,D,HOXB2,0
Chen2023,LMPP_GMP,D,HOXB3,0
Chen2023,LMPP_GMP,D,HOXB4,0
Chen2023,LMPP_GMP,D,HOXB5,0
Chen2023,LMPP_GMP,D,HOXB6,0
Chen2023,LMPP_GMP,D,MEIS1,0
Chen2023,LMPP_GMP,D,PBX3,0
GSE116256,LMPP_GMP,L,HOXA10,0
GSE116256,LMPP_GMP,L,HOXA10-AS,0
GSE116256,LMPP_GMP,L,HOXA3,0
GSE116256,LMPP_GMP,L,HOXA4,0
GSE116256,LMPP_GMP,L,HOXA5,0
GSE116256,LMPP_GMP,L,HOXA6,0
GSE116256,LMPP_GMP,L,HOXA7,0
GSE116256,LMPP_GMP,L,HOXA9,0
GSE116256,LMPP_GMP,L,HOXB-AS1,0
GSE116256,LMPP_GMP,L,HOXB-AS3,0
GSE116256,LMPP_GMP,L,HOXB2,0
GSE116256,LMPP_GMP,L,HOXB3,0
GSE116256,LMPP_GMP,L,HOXB4,0
GSE116256,LMPP_GMP,L,HOXB5,0
GSE116256,LMPP_GMP,L,HOXB6,0
GSE116256,LMPP_GMP,L,MEIS1,0
GSE116256,LMPP_GMP,L,PBX3,0
GSE116256,LMPP_GMP,D,HOXA10-AS,0
