tier,hierarchy_bin,arm,marker,n_samples,rank,mean_cpm,cpm_other_arm,log2_arm_ratio,criterion,pass,arm_pass
primary,Mono_DC,healthy,LYZ,14,5,12433.7804205238,12114.5051356037,0.0375295328794466,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
primary,Mono_DC,healthy,S100A8,14,6,10609.2068850476,5117.37725336813,1.05184031044549,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,FALSE,TRUE
primary,Mono_DC,AML,LYZ,40,2,12114.5051356037,12433.7804205238,-0.0375295328794464,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
primary,Mono_DC,AML,S100A8,40,23,5117.37725336813,10609.2068850476,-1.05184031044549,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,FALSE,TRUE
primary,T_NK,healthy,CD3E,14,217,447.805734026318,422.477494513054,0.0839985109140128,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
primary,T_NK,healthy,CD3D,14,187,547.770488101545,470.918297803236,0.218094760453076,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
primary,T_NK,AML,CD3E,39,228,422.477494513054,447.805734026318,-0.0839985109140129,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
primary,T_NK,AML,CD3D,39,206,470.918297803236,547.770488101545,-0.218094760453076,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
primary,B_Plasma,healthy,MS4A1,14,150,690.357030963227,588.10842974188,0.231260501695035,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
primary,B_Plasma,healthy,CD79A,14,154,660.518030508101,732.216001055801,-0.148671357067532,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
primary,B_Plasma,AML,MS4A1,40,169,588.10842974188,690.357030963227,-0.231260501695035,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
primary,B_Plasma,AML,CD79A,40,147,732.216001055801,660.518030508101,0.148671357067532,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,TRUE,TRUE
secondary,LMPP_GMP,healthy,CD34,4,1224,86.9575144537824,,,above bin median,TRUE,TRUE
secondary,LMPP_GMP,AML,CD34,5,5245,18.4737226080629,,,above bin median,TRUE,TRUE
secondary,HSC_MPP,healthy,CD34,4,806,120.831636661298,,,above bin median,TRUE,TRUE
secondary,HSC_MPP,AML,CD34,4,1455,73.4417347858303,,,above bin median,TRUE,TRUE
secondary,Erythroid,healthy,HBB,3,305,329.563564110941,2.40318181272004,7.09946713994154,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,FALSE,FALSE
secondary,Erythroid,healthy,HBA1,3,7331,9.64598558156744,0,Inf,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,FALSE,FALSE
secondary,Erythroid,AML,HBB,3,9945,2.40318181272004,329.563564110941,-7.09946713994154,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,FALSE,FALSE
secondary,Erythroid,AML,HBA1,3,11812,0,9.64598558156744,-Inf,mean CPM >= 100 both arms & |log2 arm ratio| <= 1,FALSE,FALSE
