tier,bin,n,planted_lfc,rec_full,rec_qonly
primary,Mono_DC,54,0.5,0.08,0.425
primary,Mono_DC,54,1,0.485,0.79
primary,Mono_DC,54,1.5,0.875,0.92
primary,Mono_DC,54,2,0.965,0.965
primary,Mono_DC,54,3,1,1
primary,T_NK,53,0.5,0.005,0.335
primary,T_NK,53,1,0.505,0.845
primary,T_NK,53,1.5,0.905,0.96
primary,T_NK,53,2,0.995,1
primary,T_NK,53,3,1,1
primary,B_Plasma,54,0.5,0.05,0.29
primary,B_Plasma,54,1,0.475,0.865
primary,B_Plasma,54,1.5,0.96,0.975
primary,B_Plasma,54,2,0.995,0.995
primary,B_Plasma,54,3,1,1
secondary,LMPP_GMP,9,0.5,0.165,0.195
secondary,LMPP_GMP,9,1,0.57,0.64
secondary,LMPP_GMP,9,1.5,0.855,0.875
secondary,LMPP_GMP,9,2,0.95,0.95
secondary,LMPP_GMP,9,3,0.98,0.98
secondary,HSC_MPP,8,0.5,0,0
secondary,HSC_MPP,8,1,0,0
secondary,HSC_MPP,8,1.5,0.46,0.46
secondary,HSC_MPP,8,2,0.825,0.825
secondary,HSC_MPP,8,3,0.96,0.96
