tier,hierarchy_bin,gene,logFC,P.Value,q_within_bin,q_pooled,hit_baseline,hit_pooled
primary,Mono_DC,KLF12,-2.89080976778605,7.44818671324196e-09,4.77558741507204e-06,0.000133030046389838,TRUE,TRUE
primary,Mono_DC,GPR155,-1.8614443589167,9.67397632357142e-08,3.55647616242231e-05,0.000708425286175135,TRUE,TRUE
primary,Mono_DC,SIN3B,-1.07882392097056,8.70454180492528e-07,0.000195923248094941,0.00478075197281009,TRUE,TRUE
primary,Mono_DC,ECE1,-2.1977311298273,1.91965587198699e-06,0.00033606166051023,0.00566969019095822,TRUE,TRUE
primary,Mono_DC,AC007952.4,-1.74866494864864,2.06461475386525e-06,0.000355791189380936,0.00566969019095822,TRUE,TRUE
primary,Mono_DC,SGMS1,-1.1168797532594,2.40394568664637e-06,0.000389898779088571,0.0058680314211038,TRUE,TRUE
primary,Mono_DC,DUSP10,1.47742608646804,3.02163689695858e-06,0.000469375117416284,0.00587903157833898,TRUE,TRUE
primary,Mono_DC,CDKN1C,-2.31449425543726,3.22416719310316e-06,0.000480531621253172,0.00587903157833898,TRUE,TRUE
primary,Mono_DC,IVNS1ABP,-1.4624532756852,3.43098256226569e-06,0.000491432554275693,0.00587903157833898,TRUE,TRUE
primary,Mono_DC,SPATA13,-1.24220191466889,3.47887525688045e-06,0.00049190404112993,0.00587903157833898,TRUE,TRUE
primary,Mono_DC,YARS,0.599139503460067,3.87600839422081e-06,0.000527759217035325,0.00608228774375978,FALSE,FALSE
primary,Mono_DC,RNF149,-1.51848411011431,5.04040721356306e-06,0.000677934770224231,0.00738218040498445,TRUE,TRUE
primary,Mono_DC,FUOM,-0.992123225953991,6.27225053719574e-06,0.000786098308803771,0.00775991870805602,FALSE,FALSE
primary,Mono_DC,LAMTOR1,-0.866832863089597,6.53538651203964e-06,0.000809873908329048,0.00775991870805602,FALSE,FALSE
primary,Mono_DC,AAK1,0.895235041590142,6.71120467263254e-06,0.000822420848160714,0.00775991870805602,FALSE,FALSE
primary,Mono_DC,ADAMTS6,2.86156146753602,7.09510071537133e-06,0.000859910613075059,0.00779361338079964,TRUE,TRUE
primary,Mono_DC,CARS2,-0.887699500067934,7.97235534863462e-06,0.000915907366042617,0.00796112157518882,FALSE,FALSE
primary,Mono_DC,ANAPC15,-0.727030413551558,8.35755754802621e-06,0.000950262909249289,0.00798292094663425,FALSE,FALSE
primary,Mono_DC,PRELID1,-0.967810905682042,8.99546579281349e-06,0.000990883158696837,0.00802051324879365,FALSE,FALSE
primary,Mono_DC,SLC9A9,-1.61462411943533,9.84755153927346e-06,0.00105445287307424,0.00802051324879365,TRUE,TRUE
primary,Mono_DC,CTDSP1,-0.747038889542509,1.00433646416584e-05,0.00105493589174143,0.00802051324879365,FALSE,FALSE
primary,Mono_DC,CDK6,1.91690597358823,1.15273547932577e-05,0.00116637794509026,0.00844148191510259,TRUE,TRUE
primary,Mono_DC,ADAM19,-1.98587374758812,1.44623906300699e-05,0.00138067152425733,0.00938304052712226,TRUE,TRUE
primary,Mono_DC,SMIM3,1.72609346545513,1.40571907128609e-05,0.00138067152425733,0.00938304052712226,TRUE,TRUE
primary,Mono_DC,PFKP,1.27370954028776,1.43665371634614e-05,0.00138067152425733,0.00938304052712226,TRUE,TRUE
primary,Mono_DC,UBAC2,-0.693280886682778,1.45215247813809e-05,0.00138067152425733,0.00938304052712226,FALSE,FALSE
primary,Mono_DC,AP1S2,-1.29420323980657,1.60815184163787e-05,0.00151592364627556,0.0100941393739835,TRUE,TRUE
primary,Mono_DC,AP2S1,-0.867968903218517,2.13860390749114e-05,0.00188693299965758,0.0124614577809763,FALSE,FALSE
primary,Mono_DC,DCLRE1C,0.53829395313659,2.26891670644568e-05,0.00197038443743224,0.0124614577809763,FALSE,FALSE
primary,Mono_DC,ERICH1,-0.688787730809658,2.47188741871648e-05,0.00208110277412397,0.0131877979219508,FALSE,FALSE
primary,Mono_DC,ARL4C,-2.41503748667564,2.52122314498581e-05,0.00209407404554954,0.0131877979219508,TRUE,TRUE
primary,Mono_DC,PLXNC1,-1.63525330666996,2.65706263425716e-05,0.0021707217624609,0.0135751183748827,TRUE,TRUE
primary,Mono_DC,LPGAT1,-0.531634107583497,2.93344599395423e-05,0.00234229193612045,0.0141139727827489,FALSE,FALSE
primary,Mono_DC,ID3,-2.34276964281531,3.08437090197639e-05,0.00238966786263342,0.0144171370947914,TRUE,TRUE
primary,Mono_DC,CASP2,1.0908002599649,3.41402304545268e-05,0.00252706444082534,0.0148925637110809,TRUE,TRUE
primary,Mono_DC,SAT2,-0.940391446499939,3.45723860560392e-05,0.00254199230541371,0.0148925637110809,FALSE,FALSE
primary,Mono_DC,ATP1B3,-0.785288477483257,3.67912692236511e-05,0.00266954544912926,0.0155222810486076,FALSE,FALSE
primary,Mono_DC,PABPC1L,1.29512964832497,3.74473528870773e-05,0.00269939120909526,0.0155222810486076,TRUE,TRUE
primary,Mono_DC,AMPD2,-0.948880280773451,3.83504131511263e-05,0.00274653705612839,0.0156022264169832,FALSE,FALSE
primary,Mono_DC,NR4A2,-1.14356352102338,3.98951505879066e-05,0.00282053599893604,0.0159355738775586,TRUE,TRUE
primary,Mono_DC,ZNF507,2.20926734521793,4.43058597420969e-05,0.00309271726009865,0.017381347012038,TRUE,TRUE
primary,Mono_DC,PLEKHA1,-1.36986907562701,4.73024859204622e-05,0.00326061948260486,0.0178836330726179,TRUE,TRUE
primary,Mono_DC,PTPN7,1.12290314655892,4.86236833127291e-05,0.00328464925340312,0.0178836330726179,TRUE,TRUE
primary,Mono_DC,C20orf27,-0.749356626706145,4.84013426597412e-05,0.00328464925340312,0.0178836330726179,FALSE,FALSE
primary,Mono_DC,RER1,-0.537395975240009,4.88423680803439e-05,0.00328464925340312,0.0178836330726179,FALSE,FALSE
primary,Mono_DC,GCA,-1.15466930987318,4.99390899034532e-05,0.00333804983360718,0.0179492932342606,TRUE,TRUE
primary,Mono_DC,FYN,-1.28687627991104,5.0655750399388e-05,0.00336555585033042,0.0179492932342606,TRUE,TRUE
primary,Mono_DC,ANKRD28,1.82214905176904,5.17505367157695e-05,0.00339736112760846,0.0180461514461705,TRUE,TRUE
primary,Mono_DC,TNFRSF14,-0.893151095838412,5.36746422829497e-05,0.00348222135140384,0.0182822468907234,FALSE,FALSE
primary,Mono_DC,MIR222HG,1.67922116354927,5.6557015517363e-05,0.00355801034122382,0.0182822468907234,TRUE,TRUE
primary,Mono_DC,ABHD5,-0.869592078882154,5.63551138671973e-05,0.00355801034122382,0.0182822468907234,FALSE,FALSE
primary,Mono_DC,HPS3,-0.640464079038572,5.65885014597474e-05,0.00355801034122382,0.0182822468907234,FALSE,FALSE
primary,Mono_DC,ZNF277,-0.558763089885697,5.56955912194387e-05,0.00355801034122382,0.0182822468907234,FALSE,FALSE
primary,Mono_DC,PCM1,0.661300270266292,5.80132331328909e-05,0.00361484716509974,0.0184709089666156,FALSE,FALSE
primary,Mono_DC,AFF1,0.668249514310032,6.17906767500613e-05,0.00380720320601356,0.0191194278524239,FALSE,FALSE
primary,Mono_DC,HLA-F,-1.44257429623187,6.44921252988017e-05,0.00386725750496329,0.0194085958998544,TRUE,TRUE
primary,Mono_DC,NUP214,-0.841777898745063,7.20311705113566e-05,0.00426487728703319,0.0208217471705788,FALSE,FALSE
primary,Mono_DC,GLRX,-1.17523308350338,7.58568783399176e-05,0.00440329216426816,0.0213745353750091,TRUE,TRUE
primary,Mono_DC,TM7SF2,0.809557389035191,7.72470818770569e-05,0.00441429049752363,0.0213745353750091,FALSE,FALSE
primary,Mono_DC,KAT2A,0.80325465773851,7.71989353199053e-05,0.00441429049752363,0.0213745353750091,FALSE,FALSE
primary,Mono_DC,TPCN1,-1.57530739684729,8.17014752680255e-05,0.00459737536087272,0.0219812038741897,TRUE,TRUE
primary,Mono_DC,NUAK2,-1.38347925199382,8.46430551011934e-05,0.00471349631079454,0.0219812038741897,TRUE,TRUE
primary,Mono_DC,CACNA1A,1.22770722481371,8.50472178663627e-05,0.00471349631079454,0.0219812038741897,TRUE,TRUE
primary,Mono_DC,MFSD14B,-0.814752397928213,8.50067682351211e-05,0.00471349631079454,0.0219812038741897,FALSE,FALSE
primary,Mono_DC,MINK1,-0.947737025667563,8.99891142361958e-05,0.00487840564933587,0.0227857315738059,FALSE,FALSE
primary,Mono_DC,XPNPEP1,0.564709954771844,9.02343596395429e-05,0.00487840564933587,0.0227857315738059,FALSE,FALSE
primary,Mono_DC,RGS2,-1.50531421948734,9.67417733692965e-05,0.0051544203791786,0.0238800002151694,TRUE,TRUE
primary,Mono_DC,IGF2BP2,1.08918932180629,9.95651274874742e-05,0.0052540851246859,0.0243038476196925,TRUE,TRUE
primary,Mono_DC,SYTL1,-1.07618712603199,0.000103852749470716,0.00535821124543486,0.0243416138305777,TRUE,TRUE
primary,Mono_DC,ZFR,0.828584533541257,0.000104939126757995,0.00535821124543486,0.0243416138305777,FALSE,FALSE
primary,Mono_DC,CEBPZOS,0.516191229383189,0.000103753667162973,0.00535821124543486,0.0243416138305777,FALSE,FALSE
primary,Mono_DC,CD48,-2.09786206705561,0.000108024979219903,0.00544690568925849,0.0243416138305777,TRUE,TRUE
primary,Mono_DC,PLCL2,-0.963114234856759,0.000108157797257014,0.00544690568925849,0.0243416138305777,FALSE,FALSE
primary,Mono_DC,POP4,-0.475759687886302,0.000107444217978767,0.00544690568925849,0.0243416138305777,FALSE,FALSE
primary,Mono_DC,GSAP,-1.07858350837453,0.000110568434309259,0.00551791521265527,0.0243416138305777,TRUE,TRUE
primary,Mono_DC,PMM1,-0.815687026060439,0.00011175775371086,0.00552724782814833,0.0243416138305777,FALSE,FALSE
primary,Mono_DC,BBIP1,-0.604233227788723,0.000112734955303584,0.00553978448654801,0.0243416138305777,FALSE,FALSE
primary,Mono_DC,FBXW4,0.534343002874773,0.000113015822782963,0.00553978448654801,0.0243416138305777,FALSE,FALSE
primary,Mono_DC,DECR1,-0.815571463896482,0.000120455775982429,0.00576840403436735,0.0252027899291237,FALSE,FALSE
primary,Mono_DC,SSR3,-0.582938491412368,0.000121816949499907,0.00577109323719987,0.0252471373921081,FALSE,FALSE
primary,Mono_DC,SMAP1,-0.446228914947121,0.000123291857152948,0.00581105082281992,0.0253140075681599,FALSE,FALSE
primary,Mono_DC,NAAA,-0.934707542200317,0.000127683772572694,0.00594242622056926,0.0257555570968158,FALSE,FALSE
primary,Mono_DC,KDM5B,1.18627107692868,0.000132519998280759,0.00605643234906148,0.0257768206846241,TRUE,TRUE
primary,Mono_DC,TMEM243,-0.81952955142069,0.000132891162251598,0.00605643234906148,0.0257768206846241,FALSE,FALSE
primary,Mono_DC,PGPEP1,0.694001170195004,0.000132538231019294,0.00605643234906148,0.0257768206846241,FALSE,FALSE
primary,Mono_DC,USP22,0.571591429389566,0.000139184943592738,0.00626559486891554,0.0265891654416423,FALSE,FALSE
primary,Mono_DC,C9orf72,-0.927372570121076,0.000141382874900168,0.0063386655580242,0.0267762101610499,FALSE,FALSE
primary,Mono_DC,BNIP3L,-0.654630819342815,0.000147886893768098,0.00655037972437091,0.0274271195988073,FALSE,FALSE
primary,Mono_DC,MOCS2,-1.01575566217972,0.000148565125051576,0.00655409905677531,0.0274271195988073,TRUE,TRUE
primary,Mono_DC,PALM2-AKAP2,1.66913120338593,0.000156246327943136,0.00673441824152055,0.0282286482485569,TRUE,TRUE
primary,Mono_DC,SYNE1,-1.10737012209053,0.00015676157705512,0.00673441824152055,0.0282286482485569,TRUE,TRUE
primary,Mono_DC,SULF2,-1.64027651240362,0.000161112131078753,0.00686063974389024,0.028546913908688,TRUE,TRUE
primary,Mono_DC,CASP1,-1.19026454309582,0.000164017087231304,0.00695747867336172,0.0288263311150761,TRUE,TRUE
primary,Mono_DC,IGF1R,-1.76482431586699,0.000168736282312122,0.00702261304762414,0.0289210148523762,TRUE,TRUE
primary,Mono_DC,FZD3,-1.76350228491421,0.000168210020641074,0.00702261304762414,0.0289210148523762,TRUE,TRUE
primary,Mono_DC,TSPO,-0.955399190849341,0.000168632820669287,0.00702261304762414,0.0289210148523762,FALSE,FALSE
primary,Mono_DC,NKG7,1.32825068092329,0.000175508819202332,0.00724091828222368,0.029560500892473,TRUE,TRUE
primary,Mono_DC,HAGHL,1.28152089184527,0.000180273840879838,0.00739122747607336,0.0300033031082512,TRUE,TRUE
primary,Mono_DC,TFDP2,0.919401264244586,0.00018404446287435,0.00749013424738451,0.0304005474051623,FALSE,FALSE
primary,Mono_DC,SMC4,0.863330437517393,0.000186858280144611,0.00757669107248131,0.0306349966902758,FALSE,FALSE
primary,Mono_DC,DST,-1.88814665114889,0.000193525217005004,0.00776141679399342,0.031493003647281,TRUE,TRUE
primary,Mono_DC,HGSNAT,-0.628363951119808,0.000195233588344448,0.00777339799946179,0.0315374022230822,FALSE,FALSE
primary,Mono_DC,ZFHX3,-1.34013116319779,0.000222083477770934,0.00856711631481093,0.0342495346203387,TRUE,TRUE
