signature	gene	weight	ctype_base	dir	bin
malig_HSC	LGALS1	1	HSC	up	HSC_MPP
malig_HSC	CD74	1	HSC	up	HSC_MPP
malig_HSC	CDC42	1	HSC	up	HSC_MPP
malig_HSC	TAGLN2	1	HSC	up	HSC_MPP
malig_HSC	VAMP8	1	HSC	up	HSC_MPP
malig_HSC	GAPDH	1	HSC	up	HSC_MPP
malig_HSC	PFN1	1	HSC	up	HSC_MPP
malig_HSC	SH3BGRL3	1	HSC	up	HSC_MPP
malig_HSC	ITM2B	1	HSC	up	HSC_MPP
malig_HSC	FLT3	1	HSC	up	HSC_MPP
malig_HSC	OAZ1	1	HSC	up	HSC_MPP
malig_HSC	GPX1	1	HSC	up	HSC_MPP
malig_HSC	ACTR2	1	HSC	up	HSC_MPP
malig_HSC	HLA-C	1	HSC	up	HSC_MPP
malig_HSC	ENO1	1	HSC	up	HSC_MPP
malig_Prog	MYL6	1	Prog	up	HSC_MPP
malig_Prog	GPX1	1	Prog	up	HSC_MPP
malig_Prog	EIF4A1	1	Prog	up	HSC_MPP
malig_Prog	MYL12A	1	Prog	up	HSC_MPP
malig_Prog	SERF2	1	Prog	up	HSC_MPP
malig_Prog	HLA-A	1	Prog	up	HSC_MPP
malig_Prog	CLIC1	1	Prog	up	HSC_MPP
malig_Prog	HLA-C	1	Prog	up	HSC_MPP
malig_Prog	ARPC3	1	Prog	up	HSC_MPP
malig_Prog	CFD	1	Prog	up	HSC_MPP
malig_Prog	ACTG1	1	Prog	up	HSC_MPP
malig_Prog	ACTB	1	Prog	up	HSC_MPP
malig_Prog	GTF3A	1	Prog	up	HSC_MPP
malig_Prog	TRIP12	1	Prog	up	HSC_MPP
malig_Prog	TAGLN2	1	Prog	up	HSC_MPP
malig_Prog	HLA-DRA	1	Prog	up	HSC_MPP
norm_HSC	JUN	1	HSC	down	HSC_MPP
norm_HSC	NRIP1	1	HSC	down	HSC_MPP
malig_panblast	TAGLN2	1	ANY	up	ANY
malig_panblast	GPX1	1	ANY	up	ANY
malig_panblast	HLA-C	1	ANY	up	ANY
