signature	gene	weight	family	source
apoptotic_priming	BCL2L11	1	apoptosis	BH3-only pro-apoptotic (BIM); Letai 2008 BH3 profiling
apoptotic_priming	BBC3	1	apoptosis	BH3-only (PUMA)
apoptotic_priming	PMAIP1	1	apoptosis	BH3-only (NOXA); MCL1-neutralising
apoptotic_priming	BID	1	apoptosis	BH3-only
apoptotic_priming	BAD	1	apoptosis	BH3-only
apoptotic_priming	BIK	1	apoptosis	BH3-only
apoptotic_priming	BMF	1	apoptosis	BH3-only
apoptotic_priming	HRK	1	apoptosis	BH3-only
apoptotic_priming	BAX	1	apoptosis	pore-forming effector
apoptotic_priming	BAK1	1	apoptosis	pore-forming effector
antiapoptotic	BCL2	1	apoptosis	venetoclax target
antiapoptotic	MCL1	1	apoptosis	venetoclax-resistance axis; niche-induced
antiapoptotic	BCL2L1	1	apoptosis	BCL-xL
antiapoptotic	BCL2A1	1	apoptosis	BFL-1; myeloid-restricted
antiapoptotic	BCL2L2	1	apoptosis	BCL-w
oxphos	NDUFA4	1	metabolism	ETC complex I; LSCs are OXPHOS-dependent (Lagadinou 2013)
oxphos	NDUFB1	1	metabolism	ETC complex I
oxphos	NDUFS5	1	metabolism	ETC complex I
oxphos	SDHA	1	metabolism	ETC complex II
oxphos	SDHB	1	metabolism	ETC complex II
oxphos	UQCRC1	1	metabolism	ETC complex III
oxphos	UQCRB	1	metabolism	ETC complex III
oxphos	CYCS	1	metabolism	cytochrome c
oxphos	COX4I1	1	metabolism	ETC complex IV
oxphos	COX5A	1	metabolism	ETC complex IV
oxphos	COX6B1	1	metabolism	ETC complex IV
oxphos	COX7A2	1	metabolism	ETC complex IV
oxphos	ATP5F1A	1	metabolism	ATP synthase
oxphos	ATP5F1B	1	metabolism	ATP synthase
oxphos	ATP5MC3	1	metabolism	ATP synthase
glycolysis	SLC2A1	1	metabolism	GLUT1
glycolysis	HK1	1	metabolism	hexokinase
glycolysis	HK2	1	metabolism	hexokinase
glycolysis	GPI	1	metabolism	glycolysis
glycolysis	PFKL	1	metabolism	glycolysis
glycolysis	PFKP	1	metabolism	glycolysis
glycolysis	ALDOA	1	metabolism	glycolysis
glycolysis	TPI1	1	metabolism	glycolysis
glycolysis	GAPDH	1	metabolism	glycolysis
glycolysis	PGK1	1	metabolism	glycolysis
glycolysis	PGAM1	1	metabolism	glycolysis
glycolysis	ENO1	1	metabolism	glycolysis
glycolysis	PKM	1	metabolism	glycolysis
glycolysis	LDHA	1	metabolism	glycolysis
glycolysis	SLC16A3	1	metabolism	MCT4 lactate export
fatty_acid_oxidation	CPT1A	1	metabolism	FAO rate-limiting; adipocyte-fuelled AML (Ye 2016, Shafat 2017)
fatty_acid_oxidation	CPT2	1	metabolism	FAO
fatty_acid_oxidation	ACADVL	1	metabolism	FAO
fatty_acid_oxidation	ACADM	1	metabolism	FAO
fatty_acid_oxidation	ACADS	1	metabolism	FAO
fatty_acid_oxidation	HADHA	1	metabolism	FAO trifunctional
fatty_acid_oxidation	HADHB	1	metabolism	FAO trifunctional
fatty_acid_oxidation	ACAA2	1	metabolism	FAO
fatty_acid_oxidation	ECHS1	1	metabolism	FAO
fatty_acid_oxidation	ETFA	1	metabolism	electron transfer flavoprotein
fatty_acid_oxidation	ETFB	1	metabolism	electron transfer flavoprotein
fatty_acid_oxidation	SLC25A20	1	metabolism	carnitine translocase
fatty_acid_oxidation	ACSL1	1	metabolism	FA activation
fatty_acid_oxidation	CD36	1	metabolism	FA uptake; marks LSC in adipose niche
cytotoxicity	GZMA	1	tnk_function	cytotoxic granule
cytotoxicity	GZMB	1	tnk_function	cytotoxic granule
cytotoxicity	GZMH	1	tnk_function	cytotoxic granule
cytotoxicity	GZMK	1	tnk_function	cytotoxic granule
cytotoxicity	PRF1	1	tnk_function	perforin
cytotoxicity	NKG7	1	tnk_function	granule
cytotoxicity	GNLY	1	tnk_function	granulysin
cytotoxicity	KLRD1	1	tnk_function	CD94
cytotoxicity	FGFBP2	1	tnk_function	effector
cytotoxicity	CTSW	1	tnk_function	effector
exhaustion	PDCD1	1	tnk_function	PD-1
exhaustion	HAVCR2	1	tnk_function	TIM-3; also an AML LSC marker -- interpret in T_NK only
exhaustion	LAG3	1	tnk_function	exhaustion
exhaustion	TIGIT	1	tnk_function	exhaustion
exhaustion	CTLA4	1	tnk_function	exhaustion
exhaustion	TOX	1	tnk_function	exhaustion master TF
exhaustion	ENTPD1	1	tnk_function	CD39
exhaustion	LAYN	1	tnk_function	exhaustion
exhaustion	CD160	1	tnk_function	exhaustion
exhaustion	BTLA	1	tnk_function	exhaustion
